url,site_name,site_type,cms_or_framework,css_style,js_presence,patterns_present,has_skip_link,focus_visible,og_tags,schema_org,est_img_strategy,perf_weight
https://www.lutyens.com,Marcos Lutyens,Artist Portfolio,Custom HTML/CSS,Platform Default,light,Chronological Art Archive;Multimedia Project Presentation;Minimal Archive Aesthetic,no,standard,basic implementation,none evident,lazy,med
https://www.lucianparisi.work,Lucian Parisi,Research Lab,Squarespace,CSS Grid,unknown,Interdisciplinary Creative Portfolio;Algorithmic/Generative Art Presentation;Academic-Creative Integration,no,standard,squarespace with multimedia optimization,json-ld for creative professional profile,basic,med
https://simonpenny.net,Simon Penny,Portfolio,Unknown,Platform Default,light,,unknown,unknown,unknown,unknown,basic,unknown
https://gaoyueh8.wixsite.com/home,Gao Yue,Artist Portfolio,Wix Thunderbolt,CSS Grid,unknown,Advanced Wix Template Architecture;Comprehensive Component Library;Sophisticated Animation Framework,no,advanced focus management,wix platform optimization,platform schema implementation,lazy,heavy
https://www.hostprods.net,Andy Gracie (Host Productions),Academic Portfolio,Squarespace,Platform Default,unknown,Scientific Art Categorization;High-Contrast Scientific Imagery;Minimal Scientific Portfolio,no,standard,squarespace with artistic content optimization,schema,basic,heavy
https://nefeliman.com,Nefeli Manoudaki,Artist Portfolio,Unknown,Platform Default,unknown,Bio-Inspired Design Documentation;Interdisciplinary Project Visualization;Hashtag-Style Project Metadata,no,standard,platform optimization for design content,none evident,basic,med
https://www.kayladesportes.com,Dr. Kayla DesPortes,Research Lab,Hugo,Platform Default,unknown,Academic Research Portfolio;Student Recruitment Integration;Interdisciplinary Research Presentation,no,good,academic theme optimization,json-ld schema markup for academic profiles,basic,light
https://www.jakobsteensen.com,Jakob Kudsk Steensen,Artist Portfolio,Squarespace,Platform Default,unknown,Immersive Digital Art Presentation;Ecological Art Theming;Minimal Digital Gallery,no,standard,squarespace with artistic content optimization,json-ld metadata for digital artist profile,lazy,heavy
https://www.studiodemby.com,Aaron Demby Jones (Studio Demby),Artist Portfolio,Next.js/React,Platform Default,unknown,Emotional Project Categorization;Experimental Artist Positioning;Minimal Content-First Design,no,good,comprehensive metadata with twitter card support,rss feed available for content syndication,basic,light
https://www.alexisstorycrawshaw.com,Alexis Story Crawshaw,Research Lab,Unknown,Flexbox,unknown,,no,basic,likely present,wordpress defaults,basic,heavy
https://jazergiles.com,Jazer Giles,Artist Portfolio,Unknown,Flexbox,unknown,,no,basic,basic implementation,none evident,basic,med
https://rodneyduplessis.com,Rodney DuPlessis,Academic Portfolio,Unknown,Flexbox,unknown,,no,limited,not evident,none observed,basic,med
https://www.konhyong.com,Kon Hyong Kim,Research Lab,Unknown,Platform Default,unknown,,no,yes,google sites defaults,minimal,srcset,med
https://www.yujnkm.com,You-Jin Kim,Research Lab,Unknown,Flexbox,unknown,,no,yes,google sites defaults,basic google sites implementation,basic,med
https://shape.stanford.edu,Stanford SHAPE Lab,Research Lab,Unknown,Flexbox,unknown,,no,yes,academic implementation,academic/research focused,basic,light
https://shaokang.cc,Shaokang,Portfolio,Unknown,Flexbox,unknown,,no,basic,wordpress implementation,wordpress defaults,basic,med
https://www.mariayablonina.com,Maria Yablonina,Professional Portfolio,Unknown,CSS Grid,unknown,,no,yes,wix implementation,website schema implemented,basic,heavy
https://vtol.cc,VTOL,Artist Portfolio,Unknown,Platform Default,unknown,,no,limited,limited implementation,none evident,basic,heavy
https://www.q-wh.com,Weihao Qiu,Academic Portfolio,Unknown,CSS Grid,unknown,,no,yes,wix defaults,website structured data present,basic,heavy
https://liquifer.com,LIQUIFER Systems Group,Research Lab,Unknown,CSS Grid,unknown,,yes,basic,wordpress implementation,basic wordpress,basic,med
https://www.agapea.si/en,Saša Spačal,Academic Portfolio,Unknown,CSS Grid,unknown,,no,basic,wordpress defaults,minimal,basic,med
https://www.portablepalace.com,Evelina Domnitch & Dmitry Gelfand,Academic Portfolio,Unknown,Platform Default,unknown,,no,poor,limited,none evident,basic,med
https://www.q-wh.com,Q Wang Hong,Professional Portfolio,Wix,Platform Default,unknown,,no,good,wix standard implementation,website schema,basic,med
https://liquifer.com,Liquifer Systems Group,Academic Portfolio,WordPress Custom,Platform Default,unknown,,no,good,wordpress standard implementation,basic wordpress schema,basic,med
https://www.agapea.si/en,Saša Spačal,Academic Portfolio,WordPress Custom,Platform Default,unknown,,no,good,basic implementation,none evident,basic,med
https://www.portablepalace.com,Evelina Domnitch & Dmitry Gelfand,Artist Portfolio,Unknown,Platform Default,unknown,,no,poor,limited implementation,none evident,basic,med
https://www.charlie-roberts.com,Charlie Roberts,Academic Portfolio,Unknown,Platform Default,light,,no,good,basic implementation,none evident,basic,light
https://websites.umich.edu/~acamci,Anıl Çamcı,Academic Portfolio,Unknown,Platform Default,unknown,,no,good,basic implementation,none evident,basic,med
https://nworb.io,Emma Brown,Academic Portfolio,Custom HTML/CSS,Platform Default,light,,no,good,basic implementation,none evident,basic,light
https://xmzhong0v0.com,Susan Zhong,Academic Portfolio,Unknown,Platform Default,unknown,,no,good,professional social media integration,none evident,basic,med
https://www.saharsajadieh.com,Sahar Sajadieh,Academic Portfolio,WordPress Custom,Platform Default,unknown,,no,good,wordpress standard implementation,none evident,basic,med
https://conceptlab.com,Garnet Hertz,Academic Portfolio,Unknown,Platform Default,unknown,,no,good,basic implementation,none evident,basic,light
https://www.syedrezaali.com,Reza Ali,Artist Portfolio,Squarespace,Platform Default,unknown,,no,good,comprehensive social media integration,json-ld metadata present,srcset,med
https://www.cykeener.com,Cy Keener,Academic Portfolio,Squarespace,Platform Default,unknown,,no,good,squarespace standard implementation,basic squarespace schema,basic,heavy
https://piercewarnecke.com,Pierce Warnecke,Artist Portfolio,WordPress Custom,Platform Default,unknown,,no,good,wordpress standard implementation,wordpress rss feeds,srcset,med
https://www.fridafigueroa.com,Frida Figueroa Sanabria,Academic Portfolio,Squarespace,Platform Default,unknown,,no,good,social media optimization,squarespace standard metadata,basic,med
https://laboratoria.art,Laboratoria.art,Artist Portfolio,WordPress Custom,Platform Default,unknown,,no,good,comprehensive social media integration,wordpress standard schema,basic,med
https://www.burbane.net,Andres Burbano,Academic Portfolio,Unknown,Platform Default,unknown,,no,needs improvement,limited implementation,none evident,basic,light
https://artificialnature.net,Artificial Nature,Academic Portfolio,Unknown,Platform Default,unknown,,no,good (high contrast),basic implementation,project metadata well-organized for search indexing,basic,med
https://vwww.space,Vladimir Todorović,Artist Portfolio,Unknown,Platform Default,unknown,,no,good,basic implementation,json-ld organization schema present,srcset,med
https://www.hawkeslab.com,Hawkes Lab,Research Lab,Wix Thunderbolt,Platform Default,unknown,,no,good,wix professional implementation,json-ld metadata with institutional information,basic,med
https://jeremykamal.com,Jeremy Kamal,Artist Portfolio,Cargo Collective,Platform Default,unknown,,no,good,platform standard implementation,basic portfolio schema,basic,heavy
https://shanedenson.com,Shane Denson,Academic Portfolio,Static Site,Platform Default,unknown,,no,good,basic academic implementation,none evident,basic,light
https://marehirsch.com,Mare Hirsch,Artist Portfolio,Cargo Collective,Platform Default,unknown,,no,good,platform standard implementation,basic portfolio schema,basic,light
https://www.aandersonportfolio.com,Aaron Anderson,Artist Portfolio,WordPress Custom,Platform Default,unknown,,no,good,platform standard implementation,basic portfolio structure,basic,med
https://www.ashleydelvalle.com,Ashley Del Valle,Artist Portfolio,Wix Thunderbolt,Platform Default,unknown,,no,good,comprehensive wix social media integration,advanced wix schema implementation,lazy,heavy
https://www.yiranxiao.com,Yiran Xiao,Academic Portfolio,Unknown,Platform Default,unknown,,no,good,basic implementation,none evident,basic,med
https://www.carstennicolai.de,Carsten Nicolai,Artist Portfolio,Unknown,Platform Default,light,,no,good,limited implementation,semantic url structure supports indexing,basic,light
https://www.mikegao.com,Mike Gao,Artist Portfolio,Unknown,Platform Default,unknown,,no,needs improvement,limited implementation,none evident,basic,heavy
https://www.danielcanogar.com,Daniel Canogar,Artist Portfolio,Unknown,Platform Default,unknown,,no,good,basic implementation with multilingual considerations,none evident,basic,med
https://sterlingcrispin.com,Sterling Crispin,Artist Portfolio,Custom HTML/CSS,Platform Default,unknown,,no,good,basic implementation,none evident,basic,med
https://www.feleciadavistudio.com,Felecia Davis Studio,Academic Portfolio,Squarespace,Platform Default,unknown,,no,good,comprehensive squarespace social integration,json-ld metadata with academic/research context,basic,med
https://ehsansayyad.com,Ehsan Sayyad,Artist Portfolio,Unknown,Platform Default,unknown,,no,needs improvement,limited implementation,none evident,basic,heavy
https://ecmc.rochester.edu/rdm,Robert Morris,Academic Portfolio,Custom HTML/CSS,Platform Default,light,,no,standard,limited academic implementation,none evident,basic,light
